Surface,Court,ranking_diff,AvgW,AvgL,win
Clay,Outdoor,40,1.63,2.21,1
Clay,Outdoor,-3,2.04,1.73,0
Clay,Outdoor,-6,2.16,1.65,0
Clay,Outdoor,32,1.57,2.33,0
Clay,Outdoor,19,3.54,1.28,1
Clay,Outdoor,16,3.54,1.27,0
Clay,Outdoor,23,2.89,1.38,1
Clay,Outdoor,39,6.88,1.09,0
Clay,Outdoor,26,2.9,1.38,0
Clay,Outdoor,15,2.27,1.59,1
Clay,Outdoor,12,1.59,2.3,1
Clay,Outdoor,38,2.04,1.72,0
Clay,Outdoor,22,2.76,1.41,0
Clay,Outdoor,-56,1.22,4,1
Clay,Outdoor,-18,2.15,1.66,0
Clay,Outdoor,15,1.87,1.85,0
Clay,Outdoor,4,7.34,1.08,1
Clay,Outdoor,-6,1.46,2.6,0
Clay,Outdoor,26,2.38,1.55,0
Clay,Outdoor,28,2.16,1.65,0
Clay,Outdoor,-20,1.22,3.98,1
Clay,Outdoor,72,7.17,1.08,0
Clay,Outdoor,-39,1.66,2.22,0
Clay,Outdoor,16,3.02,1.36,0
Clay,Outdoor,-29,2.02,1.74,0
Clay,Outdoor,72,3.78,1.25,0
Clay,Outdoor,15,2.25,1.6,1
Clay,Outdoor,19,3.89,1.23,0
Clay,Outdoor,283,4.33,1.2,0
Clay,Outdoor,-178,1.19,4.37,1
Clay,Outdoor,38,4.78,1.16,0
Clay,Outdoor,-59,1.25,3.8,1
Clay,Outdoor,-83,1.29,3.47,0
Clay,Outdoor,-42,1.08,7.07,1
Clay,Outdoor,-42,1.15,5.05,1
Clay,Outdoor,-18,1.54,2.43,1
Clay,Outdoor,11,3.1,1.34,0
Clay,Outdoor,-6,1.5,2.51,1
Clay,Outdoor,-35,1.49,2.54,0
Clay,Outdoor,-39,1.24,3.87,0
Clay,Outdoor,-11,1.51,2.45,1
Clay,Outdoor,-11,1.71,2.07,1
Clay,Outdoor,-39,1.6,2.25,0
Clay,Outdoor,-14,1.59,2.3,1
Clay,Outdoor,24,4.36,1.2,1
Clay,Outdoor,32,3.34,1.31,1
Clay,Outdoor,64,3.17,1.34,0
Clay,Outdoor,-38,1.42,2.74,1
Clay,Outdoor,-15,1.51,2.48,0
Clay,Outdoor,14,2.68,1.44,0
Clay,Outdoor,17,2.61,1.46,1
Clay,Outdoor,-8,1.8,1.94,1
Clay,Outdoor,-13,1.62,2.21,1
Clay,Outdoor,40,4.63,1.17,0
Clay,Outdoor,43,3.99,1.23,0
Clay,Outdoor,-27,2.22,1.63,1
Clay,Outdoor,-50,1.2,4.29,1
Clay,Outdoor,12,2.79,1.41,1
Clay,Outdoor,5,2.09,1.7,0
Clay,Outdoor,-9,1.7,2.09,0
Clay,Outdoor,-20,1.21,4.16,0
Clay,Outdoor,-19,1.22,4.08,1
Clay,Outdoor,6,2.15,1.67,0
Clay,Outdoor,21,3.23,1.33,1
Clay,Outdoor,-54,1.44,2.66,1
Clay,Outdoor,-13,2.02,1.73,0
Clay,Outdoor,13,3.45,1.28,0
Clay,Outdoor,-33,1.25,3.75,0
Clay,Outdoor,39,1.93,1.81,0
Clay,Outdoor,-30,1.68,2.1,1
Clay,Outdoor,180,2.89,1.38,1
Clay,Outdoor,-11,1.74,2.01,0
Clay,Outdoor,-34,1.15,4.97,1
Clay,Outdoor,22,3.12,1.34,0
Clay,Outdoor,39,2.73,1.42,0
Clay,Outdoor,-11,1.47,2.59,1
Clay,Outdoor,29,3.73,1.25,1
Clay,Outdoor,-159,1.5,2.5,0
Clay,Outdoor,-43,1.34,3.15,1
Clay,Outdoor,27,1.79,1.95,1
Clay,Outdoor,-22,1.36,2.97,1
Clay,Outdoor,3,3.01,1.36,1
Clay,Outdoor,-36,1.81,1.92,0
Clay,Outdoor,-13,2.11,1.69,1
Clay,Outdoor,254,5.15,1.15,0
Clay,Outdoor,177,5.35,1.14,0
Clay,Outdoor,-20,1.64,2.18,0
Clay,Outdoor,-24,1.5,2.5,1
Clay,Outdoor,19,3.76,1.25,1
Clay,Outdoor,68,3.54,1.28,0
Clay,Outdoor,-21,1.35,3.11,1
Clay,Outdoor,2,2,1.76,1
Clay,Outdoor,-36,1.52,2.45,1
Clay,Outdoor,64,5,1.16,0
Clay,Outdoor,-32,1.45,2.66,1
Clay,Outdoor,1,3.79,1.24,0
Clay,Outdoor,68,5.12,1.15,0
Clay,Outdoor,139,2.36,1.56,1
Clay,Outdoor,-3,1.36,2.99,0
Clay,Outdoor,12,1.89,1.85,0
Clay,Outdoor,-64,1.62,2.21,0
Clay,Outdoor,-282,1.41,2.73,0
Clay,Outdoor,-74,1.24,3.78,1
Clay,Outdoor,-9,1.52,2.46,1
Clay,Outdoor,-54,2.49,1.5,0
Clay,Outdoor,-166,1.22,4.07,1
Clay,Outdoor,-14,1.4,2.82,0
Clay,Outdoor,-127,1.4,2.82,0
Clay,Outdoor,327,7.13,1.08,0
Clay,Outdoor,11,3.05,1.35,0
Clay,Outdoor,95,4.38,1.19,1
Clay,Outdoor,-45,1.14,5.26,1
Clay,Outdoor,16,2.99,1.36,0
Clay,Outdoor,30,2.39,1.54,0
Clay,Outdoor,52,3.09,1.35,0
Clay,Outdoor,23,3.09,1.35,0
Clay,Outdoor,23,2.16,1.65,1
Clay,Outdoor,68,3.25,1.32,0
Clay,Outdoor,177,4.26,1.2,1
Clay,Outdoor,-20,1.46,2.63,0
Clay,Outdoor,179,3.58,1.27,0
Clay,Outdoor,6,1.44,2.4,1
Clay,Outdoor,38,2.74,1.42,0
Clay,Outdoor,113,2.78,1.42,0
Clay,Outdoor,-121,1.09,6.94,1
Clay,Outdoor,3,3.63,1.27,0
Clay,Outdoor,-28,1.19,4.39,1
Clay,Outdoor,34,2.48,1.52,1
Clay,Outdoor,77,8.65,1.05,1
Clay,Outdoor,73,3.41,1.3,0
Clay,Outdoor,139,9,1.05,0
Clay,Outdoor,-147,1.04,9.09,1
Clay,Outdoor,-134,1.24,3.9,1
Clay,Outdoor,56,4.33,1.2,1
Clay,Outdoor,-48,1.71,2.06,1
Clay,Outdoor,59,6.52,1.1,0
Clay,Outdoor,182,4.51,1.19,0
Clay,Outdoor,106,6.68,1.09,0
Clay,Outdoor,-199,1.03,10.19,1
Clay,Outdoor,-90,1.11,6.15,1
Clay,Outdoor,-75,1.11,6.05,1
Clay,Outdoor,11,1.75,2.01,0
Clay,Outdoor,42,1.44,2.68,1
Clay,Outdoor,88,3.91,1.23,0
Clay,Outdoor,6,1.35,3.11,1
Clay,Outdoor,127,5.93,1.12,0
Clay,Outdoor,6,1.34,3.12,0
Clay,Outdoor,-63,1.13,5.44,1
Clay,Outdoor,79,3.5,1.28,1
Clay,Outdoor,-49,1.59,2.28,1
Clay,Outdoor,53,4.67,1.17,0
Clay,Outdoor,-19,3.3,1.31,0
Clay,Outdoor,45,3.02,1.36,0
Clay,Outdoor,-75,1.02,12.06,1
Clay,Outdoor,-14,1.99,1.77,0
Clay,Outdoor,54,7.76,1.07,0
Clay,Outdoor,14,1.83,1.9,0
Clay,Outdoor,-29,1.68,2.13,0
Clay,Outdoor,55,5.6,1.13,0
Clay,Outdoor,3,2.33,1.57,1
Clay,Outdoor,-47,1.09,6.66,1
Clay,Outdoor,23,1.23,3.93,1
Clay,Outdoor,76,5.11,1.15,0
Clay,Outdoor,22,2.03,1.74,0
Clay,Outdoor,107,4.37,1.2,0
Clay,Outdoor,90,10.4,1.04,0
Clay,Outdoor,187,5.78,1.12,0
Clay,Outdoor,58,9.33,1.05,0
Clay,Outdoor,205,2.33,1.57,0
Clay,Outdoor,22,1.98,1.77,0
Clay,Outdoor,-7,1.72,2.05,1
Clay,Outdoor,45,2.54,1.49,0
Clay,Outdoor,53,6.06,1.11,0
Clay,Outdoor,-40,1.08,7.41,1
Clay,Outdoor,-29,1.75,2.01,1
Clay,Outdoor,1,2,1.75,0
Clay,Outdoor,55,1.69,2.08,1
Clay,Outdoor,63,3.33,1.31,1
Clay,Outdoor,24,1.62,2.21,1
Clay,Outdoor,-98,1.06,8.01,1
Clay,Outdoor,-95,1.27,3.59,1
Clay,Outdoor,-97,1.82,1.91,0
Clay,Outdoor,42,2.08,1.7,0
Clay,Outdoor,-64,1.06,8.49,1
Clay,Outdoor,-56,2.42,1.53,0
Clay,Outdoor,-97,1.09,6.89,1
Clay,Outdoor,27,3.48,1.29,0
Clay,Outdoor,57,9.59,1.05,0
Clay,Outdoor,15,1.72,2.06,0
Clay,Outdoor,-100,1.12,5.75,1
Clay,Outdoor,-8,1.31,3.35,1
Clay,Outdoor,45,4.23,1.21,0
Clay,Outdoor,58,4.26,1.2,0
Clay,Outdoor,-45,1.11,6.24,1
Clay,Outdoor,-86,1.15,5.05,0
Clay,Outdoor,35,2.36,1.56,0
Clay,Outdoor,-53,1.07,7.89,1
Clay,Outdoor,-27,1.44,2.7,0
Clay,Outdoor,-114,1.16,5,1
Clay,Outdoor,-147,1.06,7.98,1
Clay,Outdoor,14,1.56,2.34,0
Clay,Outdoor,-35,3.09,1.35,0
Clay,Outdoor,28,3.94,1.23,1
Clay,Outdoor,38,3.38,1.3,0
Clay,Outdoor,70,6.45,1.1,1
Clay,Outdoor,125,8.07,1.06,0
Clay,Outdoor,13,2.48,1.51,1
Clay,Outdoor,20,3.3,1.31,0
Clay,Outdoor,-106,1.21,4.14,1
Clay,Outdoor,76,8.31,1.06,0
Clay,Outdoor,-163,1.24,3.81,0
Clay,Outdoor,72,7.64,1.07,0
Clay,Outdoor,-170,1.22,4.11,1
Clay,Outdoor,-12,1.47,2.59,1
Clay,Outdoor,-56,1.04,9.63,1
Clay,Outdoor,39,4.56,1.18,0
Clay,Outdoor,-58,1.12,5.91,1
Clay,Outdoor,95,10.64,1.04,0
Clay,Outdoor,25,4.14,1.21,0
Clay,Outdoor,29,2.59,1.47,0
Clay,Outdoor,-37,1.45,2.64,1
Clay,Outdoor,-43,1.12,5.75,1
Clay,Outdoor,-33,1.6,2.26,0
Clay,Outdoor,-24,1.4,2.82,0
Clay,Outdoor,-5,1.68,2.11,0
Clay,Outdoor,15,2.14,1.66,1
Clay,Outdoor,28,6.51,1.1,0
Clay,Outdoor,-8,1.5,2.48,0
Clay,Outdoor,-10,1.86,1.87,0
Clay,Outdoor,-1,1.74,2.01,0
Clay,Outdoor,4,1.41,2.8,1
Clay,Outdoor,180,6,1.11,0
Clay,Outdoor,-27,1.2,4.32,1
Clay,Outdoor,-10,3.65,1.27,0
Clay,Outdoor,-13,1.46,2.63,1
Clay,Outdoor,126,5.52,1.13,0
